episode,reward,win
490,140.19000000000182,0
491,96.55999999999969,0
492,49.54000000000006,0
493,109.65999999999961,0
494,68.51000000000002,0
495,13.699999999999996,0
496,49.640000000000015,0
497,99.62999999999965,0
498,55.53000000000004,0
499,42.52000000000001,0
500,0.8800000000000008,0
501,4.9300000000000015,0
502,110.65999999999859,0
503,17.949999999999996,0
504,102.08999999999988,0
505,56.40000000000002,0
506,137.58000000000072,0
507,63.20000000000003,0
508,86.37999999999994,0
509,20.659999999999958,0
510,1.9400000000000013,0
511,132.77000000000356,0
512,15.850000000000001,0
513,75.14999999999984,0
514,1.950000000000001,0
515,61.50000000000004,0
516,38.539999999999985,0
517,35.65999999999999,0
518,44.84000000000008,0
519,18.80999999999998,0
520,128.34999999999985,0
521,7.830000000000004,0
522,20.819999999999986,0
523,2.9300000000000006,0
524,85.29999999999994,0
525,131.9900000000057,0
526,67.35,0
527,24.609999999999957,0
528,53.470000000000034,0
529,137.08000000000015,0
530,15.81999999999999,0
531,6.93,0
532,120.269999999998,0
533,11.879999999999999,0
534,51.460000000000036,0
535,21.859999999999996,0
536,44.68,0
537,61.40000000000005,0
538,4.98,0
539,70.0099999999999,0
540,5.940000000000001,0
541,14.889999999999997,0
542,4.9300000000000015,0
543,24.81,0
544,86.81999999999984,0
545,22.799999999999983,0
546,20.839999999999993,0
547,114.28999999999947,0
548,2.8400000000000025,0
549,58.2,0
550,57.490000000000066,0
551,93.12999999999992,0
552,68.3700000000001,0
553,15.819999999999997,0
554,44.670000000000044,0
555,7.820000000000004,0
556,73.12999999999994,0
557,121.07999999999922,0
558,103.74999999999983,0
559,31.62999999999998,0
560,73.05999999999986,0
561,9.830000000000004,0
562,33.79,0
563,69.16000000000004,0
564,7.870000000000003,0
565,114.58999999999968,0
566,56.37000000000005,0
567,15.849999999999994,0
568,28.38000000000001,0
569,133.6699999999995,0
570,82.13999999999982,0
571,63.28000000000006,0
572,108.04999999999937,0
573,109.47999999999743,0
574,28.849999999999987,0
575,0.9199999999999999,0
576,3.860000000000001,0
577,-2.1199999999999988,0
578,125.5600000000033,0
579,121.61999999999956,0
580,121.42999999999981,0
581,0.8200000000000021,0
582,131.12000000000103,0
583,101.28999999999984,0
584,75.37999999999994,0
585,93.98999999999991,0
586,98.61999999999956,0
587,18.889999999999993,0
588,88.87999999999978,0
589,3.960000000000001,0
590,90.61999999999976,0
591,60.519999999999996,0
592,16.919999999999998,0
593,4.940000000000001,0
594,1.9800000000000004,0
595,79.53999999999996,0
596,65.09,0
597,23.829999999999984,0
598,104.89999999999971,0
599,51.58000000000001,0
600,89.99999999999973,0
601,154.4900000000001,1
602,34.579999999999984,0
603,100.97999999999975,0
604,31.67000000000001,0
605,32.78999999999999,0
606,128.82,0
607,120.51999999999958,0
608,16.669999999999987,0
609,67.31000000000003,0
610,62.360000000000014,0
611,39.74000000000001,0
612,89.68999999999959,0
613,20.829999999999995,0
614,51.50000000000002,0
615,40.67000000000001,0
616,23.759999999999977,0
617,95.89999999999979,0
618,53.250000000000064,0
619,106.03999999999978,0
620,12.730000000000004,0
621,143.32000000000005,0
622,133.6700000000073,0
623,21.879999999999995,0
624,22.619999999999994,0
625,114.58999999999749,0
626,42.70000000000002,0
627,14.810000000000002,0
628,49.63000000000001,0
629,81.18999999999993,0
630,73.54999999999961,0
631,38.580000000000034,0
632,23.769999999999982,0
633,91.94999999999973,0
634,48.38999999999998,0
635,20.86999999999999,0
636,51.619999999999976,0
637,5.940000000000001,0
638,81.49999999999993,0
639,126.15999999999968,0
640,13.899999999999995,0
641,56.12000000000006,0
642,17.83,0
643,10.760000000000003,0
644,53.49000000000005,0
645,33.8,0
646,81.21999999999984,0
647,7.98,0
648,77.09,0
649,96.99999999999984,0
650,135.13999999999953,0
651,55.59000000000003,0
652,58.000000000000114,0
653,5.910000000000002,0
654,56.58000000000005,0
655,5.970000000000001,0
656,-0.049999999999998934,0
657,31.839999999999982,0
658,116.98999999999876,0
659,54.23000000000004,0
660,37.60000000000003,0
661,96.16999999999987,0
662,122.67000000000114,0
663,22.909999999999997,0
664,4.99,0
665,117.2599999999993,0
666,128.87000000000253,0
667,11.89,0
668,21.65999999999995,0
669,31.79999999999999,0
670,93.15999999999987,0
671,130.47999999999973,0
672,18.9,0
673,129.96000000000032,0
674,56.48000000000004,0
675,56.539999999999985,0
676,12.899999999999995,0
677,20.809999999999985,0
678,154.1199999999997,1
679,54.410000000000046,0
680,102.84999999999958,0
681,52.47000000000004,0
682,137.90999999999997,0
683,111.80999999999992,0
684,10.920000000000002,0
685,121.69999999999968,0
686,53.52000000000007,0
687,97.77999999999969,0
688,41.85000000000001,0
689,56.26000000000009,0
690,75.51999999999998,0
691,46.540000000000006,0
692,3.0,0
693,6.920000000000002,0
694,0.9500000000000011,0
695,10.820000000000004,0
696,45.6,0
697,10.96,0
698,24.58999999999994,0
699,70.26,0
700,110.80999999999963,0
701,38.73,0
702,23.749999999999975,0
703,113.99999999999977,0
704,35.66,0
705,110.56999999999954,0
706,102.11999999999976,0
707,37.85,0
708,56.390000000000065,0
709,153.04000000000204,1
710,54.43000000000005,0
711,155.05000000000032,1
712,106.29999999999983,0
713,1.9800000000000004,0
714,76.52000000000001,0
715,63.55000000000004,0
716,24.63999999999997,0
717,20.90999999999999,0
718,69.3999999999999,0
719,2.910000000000002,0
720,112.76999999999964,0
721,60.47000000000003,0
722,154.5900000000007,1
723,57.310000000000045,0
724,89.98999999999981,0
725,43.55000000000001,0
726,81.33999999999989,0
727,107.81999999999971,0
728,118.66999999999959,0
729,30.719999999999978,0
730,13.8,0
731,64.52000000000001,0
732,84.47999999999993,0
733,71.95999999999997,0
734,26.919999999999987,0
735,57.31000000000007,0
736,0.9699999999999998,0
737,102.05999999999982,0
738,105.90999999999988,0
739,56.45000000000004,0
740,9.97,0
741,18.659999999999958,0
742,109.48999999999954,0
743,5.860000000000001,0
744,1.9900000000000002,0
745,43.09000000000011,0
746,25.829999999999984,0
747,20.84999999999999,0
748,49.57000000000004,0
749,23.78999999999998,0
750,154.96,1
751,-0.05999999999999872,0
752,88.13999999999979,0
753,96.12999999999975,0
754,25.839999999999986,0
755,97.15999999999933,0
756,101.16999999999976,0
757,23.68999999999996,0
758,137.640000000005,0
759,51.2900000000001,0
760,134.4200000000011,0
761,3.9700000000000006,0
762,58.48000000000007,0
763,13.959999999999997,0
764,102.87999999999967,0
765,103.81999999999957,0
766,22.91999999999999,0
767,29.67999999999998,0
768,62.650000000000006,0
769,14.869999999999987,0
770,53.51000000000004,0
771,89.15999999999987,0
772,15.949999999999996,0
773,145.61000000000004,0
774,114.75999999999962,0
775,21.809999999999977,0
776,35.790000000000006,0
777,69.57999999999993,0
778,140.0400000000002,0
779,54.540000000000056,0
780,87.40999999999981,0
781,154.5400000000007,1
782,94.30999999999985,0
783,122.63999999999902,0
784,112.23999999999978,0
785,73.18000000000006,0
786,8.830000000000004,0
787,132.76999999999992,0
788,154.2400000000011,1
789,90.93999999999893,0
790,101.89999999999961,0
791,11.919999999999998,0
792,64.34999999999997,0
793,63.550000000000054,0
794,20.789999999999985,0
795,63.49000000000001,0
796,35.57,0
797,122.92,0
798,3.9700000000000006,0
799,144.09000000000077,0
800,86.47999999999995,0
801,66.44999999999986,0
802,17.799999999999994,0
803,4.98,0
804,46.589999999999996,0
805,41.75000000000003,0
806,124.8299999999999,0
807,125.04999999999984,0
808,35.66999999999998,0
809,30.809999999999995,0
810,123.49999999999986,0
811,131.34000000000026,0
812,15.93,0
813,71.40999999999998,0
814,33.800000000000004,0
815,14.93,0
816,19.939999999999994,0
817,56.53,0
818,138.02000000000004,0
819,11.899999999999995,0
820,19.899999999999995,0
821,7.860000000000003,0
822,11.959999999999997,0
823,6.860000000000003,0
824,66.58000000000004,0
825,81.25999999999985,0
826,141.78000000000327,0
827,97.32999999999983,0
828,106.18999999999971,0
829,106.28999999999976,0
830,34.67999999999998,0
831,110.81999999999961,0
832,73.67000000000002,0
833,6.960000000000001,0
834,104.12999999999975,0
835,112.76999999999971,0
836,113.22999999999983,0
837,136.71000000000063,0
838,42.660000000000004,0
839,155.03000000000088,1
840,155.47000000000037,1
841,24.79999999999998,0
842,120.32999999999936,0
843,154.0900000000011,1
844,8.880000000000003,0
845,43.749999999999986,0
846,138.70999999999918,0
847,10.98,0
848,97.0099999999997,0
849,50.27000000000006,0
850,138.3300000000001,0
851,145.1300000000004,0
852,60.62000000000002,0
853,128.35000000000232,0
854,120.83999999999918,0
855,22.65999999999998,0
856,25.769999999999992,0
857,29.85,0
858,66.49000000000001,0
859,29.75999999999999,0
860,20.879999999999992,0
861,47.56000000000004,0
862,52.50000000000002,0
863,21.76999999999997,0
864,93.29999999999986,0
865,36.79999999999998,0
866,79.57000000000001,0
867,120.16999999999979,0
868,135.4600000000002,0
869,28.759999999999984,0
870,7.950000000000001,0
871,53.52000000000006,0
872,135.76999999999978,0
873,153.26000000000215,1
874,138.5600000000001,0
875,11.96,0
876,49.67000000000003,0
877,55.57000000000003,0
878,4.920000000000002,0
879,68.49000000000004,0
880,81.39999999999992,0
881,-1.0199999999999996,0
882,47.77999999999999,0
883,133.4600000000014,0
884,3.960000000000001,0
885,13.909999999999993,0
886,16.929999999999993,0
887,9.950000000000001,0
888,9.97,0
889,141.1700000000015,0
890,100.15999999999985,0
891,155.14000000000016,1
892,138.6300000000026,0
893,88.52999999999986,0
894,88.46999999999994,0
895,56.710000000000015,0
896,77.53999999999999,0
897,35.76,0
898,13.739999999999974,0
899,58.64000000000003,0
900,53.59000000000005,0
901,59.370000000000076,0
902,142.78000000000094,0
903,155.3499999999999,1
904,141.09000000000236,0
905,30.669999999999966,0
906,48.74,0
907,58.780000000000015,0
908,8.950000000000001,0
909,31.789999999999985,0
910,131.92000000000002,0
911,23.789999999999978,0
912,14.849999999999987,0
913,-1.0299999999999998,0
914,31.85,0
915,77.42999999999995,0
916,74.29999999999991,0
917,155.19999999999948,1
918,141.12,0
919,22.85999999999998,0
920,122.28999999999935,0
921,143.07000000000062,0
922,11.929999999999996,0
923,122.8999999999997,0
924,53.72,0
925,136.6599999999999,0
926,3.9700000000000006,0
927,11.869999999999997,0
928,56.690000000000026,0
929,102.31999999999985,0
930,5.9300000000000015,0
931,106.9399999999997,0
932,21.909999999999997,0
933,140.85000000000218,0
934,5.940000000000001,0
935,18.82999999999998,0
936,139.35000000000093,0
937,66.63999999999994,0
938,46.77999999999999,0
939,112.09999999999977,0
940,27.77999999999998,0
941,153.3899999999995,1
942,68.46,0
943,24.76999999999999,0
944,82.48999999999991,0
945,155.13000000000045,1
946,50.72000000000001,0
947,16.949999999999996,0
948,54.74000000000001,0
949,113.47999999999959,0
950,155.68000000000023,1
951,84.59999999999995,0
952,59.66000000000004,0
953,155.35000000000036,1
954,96.5699999999999,0
955,142.59000000000037,0
956,155.5999999999998,1
957,155.47999999999985,1
958,92.51999999999997,0
959,138.93999999999937,0
960,24.789999999999978,0
961,154.11000000000138,1
962,9.92,0
963,100.19999999999975,0
964,93.47999999999995,0
965,154.26999999999953,1
966,127.52999999999935,0
967,95.30999999999979,0
968,136.59999999999968,0
969,152.42000000000257,1
970,86.19999999999997,0
971,66.43999999999997,0
972,83.53999999999989,0
973,132.03999999999994,0
974,104.91999999999965,0
975,67.48999999999995,0
976,26.879999999999995,0
977,155.70999999999978,1
978,136.07999999999987,0
979,136.6699999999998,0
980,46.490000000000045,0
981,155.02000000000038,1
982,75.52999999999989,0
983,154.4999999999994,1
984,88.40999999999991,0
985,121.13999999999976,0
986,113.44999999999979,0
987,135.94000000000057,0
988,49.81000000000001,0
989,154.16000000000156,1
990,40.79000000000002,0
991,83.58999999999993,0
992,18.879999999999992,0
993,20.919999999999998,0
994,109.26999999999987,0
995,155.33000000000024,1
996,18.77999999999997,0
997,130.60999999999927,0
998,25.869999999999987,0
999,31.759999999999977,0
1000,21.889999999999986,0
1001,33.73000000000002,0
1002,104.1199999999997,0
1003,88.54999999999988,0
1004,131.88999999999993,0
1005,108.31999999999981,0
1006,66.43999999999996,0
1007,22.829999999999984,0
1008,129.99999999999986,0
1009,56.750000000000014,0
1010,101.36999999999932,0
1011,55.55000000000004,0
1012,28.869999999999997,0
1013,5.970000000000001,0
1014,33.879999999999995,0
1015,129.63999999999965,0
1016,111.11999999999979,0
1017,19.71999999999997,0
1018,155.0800000000009,1
1019,15.869999999999997,0
1020,105.0099999999998,0
1021,69.75999999999998,0
1022,88.66999999999999,0
1023,119.19999999999969,0
1024,153.4400000000025,1
1025,25.899999999999995,0
1026,62.60000000000001,0
1027,126.0199999999999,0
1028,98.25999999999982,0
1029,140.22000000000472,0
1030,35.78,0
1031,155.86999999999995,1
1032,106.34999999999984,0
1033,133.0299999999999,0
1034,154.58000000000095,1
1035,83.75999999999998,0
1036,119.87999999999967,0
1037,117.06999999999962,0
1038,77.4199999999999,0
1039,95.66999999999996,0
1040,41.82999999999999,0
1041,106.99999999999974,0
1042,71.37999999999988,0
1043,45.81000000000001,0
1044,49.77000000000002,0
1045,19.799999999999997,0
1046,79.73999999999998,0
1047,20.77999999999998,0
1048,84.30999999999997,0
1049,155.8199999999998,1
1050,27.78999999999997,0
1051,33.759999999999984,0
1052,96.6099999999999,0
1053,5.910000000000002,0
1054,155.43000000000023,1
1055,14.959999999999994,0
1056,10.98,0
1057,30.820000000000007,0
1058,153.6900000000017,1
